SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE_FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,NA,Condo/Co-op,1818 Kelton Ave #202,Los Angeles,CA,90025,549000,1,1,Westwood - Century City,646,6940,1974,9,850,251,Active,October-15-2023 01:00 PM,October-15-2023 04:00 PM,https://www.redfin.com/CA/Los-Angeles/1818-Kelton-Ave-90025/unit-202/home/6801035,TheMLS,23-314611,N,Y,34.048656,-118.4382635
MLS Listing,NA,Condo/Co-op,1130 S Flower St #304,Los Angeles,CA,90015,649000,1,1.5,Downtown L.A.,1366,44570,2003,10,475,1099,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/1130-S-Flower-St-90015/unit-304/home/8137180,TheMLS,23-315549,N,Y,34.042039,-118.264451
MLS Listing,NA,Condo/Co-op,2121 James M Wood Blvd #317,Los Angeles,CA,90006,339000,1,1,C42 - Downtown L.A.,450,21307,1923,10,753,330,Contingent,NA,NA,https://www.redfin.com/CA/Los-Angeles/2121-James-M-Wood-Blvd-90006/unit-317/home/12286372,CRMLS,GD23133324,N,Y,34.053990400000004,-118.2795671
MLS Listing,NA,Condo/Co-op,121 S Hope St #202,Los Angeles,CA,90012,668000,1,2,Downtown L.A.,1253,67190,1980,11,533,1099,Active,October-15-2023 12:00 PM,October-15-2023 03:00 PM,https://www.redfin.com/CA/Los-Angeles/121-S-Hope-St-90012/unit-202/home/6933356,TheMLS,23-317481,N,Y,34.0560037,-118.2507228
MLS Listing,NA,Condo/Co-op,655 S Hope St #608,Los Angeles,CA,90017,530000,1,1,Downtown L.A.,820,11674,1964,12,646,991,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/655-S-Hope-St-90017/unit-608/home/40152457,TheMLS,23-315793,N,Y,34.0483388,-118.2576416
MLS Listing,NA,Condo/Co-op,849 S Broadway #407,Los Angeles,CA,90014,820000,1,1,Downtown L.A.,1130,22844,1930,15,726,1527,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/849-S-Broadway-90014/unit-407/home/17230092,TheMLS,23-316581,N,Y,34.0428165,-118.2561113
MLS Listing,NA,Condo/Co-op,108 W 2nd St #408,Los Angeles,CA,90012,579000,1,1,Downtown L.A.,910,19153,1910,18,636,851,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/108-W-2nd-St-90012/unit-408/home/17239082,TheMLS,23-314880,N,Y,34.0509671,-118.2448504
MLS Listing,NA,Condo/Co-op,10501 Wilshire Blvd #1406,Los Angeles,CA,90024,695000,1,1,Westwood - Century City,598,42193,1963,18,1162,963,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/10501-Wilshire-Blvd-90024/unit-1406/home/21916949,TheMLS,23-314789,N,Y,34.0640529,-118.432715
MLS Listing,NA,Condo/Co-op,215 W 7th St #805,Los Angeles,CA,90014,489900,1,1,Downtown L.A.,870,15922,1911,18,563,659,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/215-W-7th-St-90014/unit-805/home/17238339,TheMLS,23-314511,N,Y,34.0449167,-118.2526731
MLS Listing,NA,Condo/Co-op,746 S Los Angeles St #903,Los Angeles,CA,90014,499000,1,1,Downtown L.A.,770,38308,1922,19,648,804,Active,October-15-2023 01:00 PM,October-15-2023 04:00 PM,https://www.redfin.com/CA/Los-Angeles/746-S-Los-Angeles-St-90014/unit-903/home/21915665,TheMLS,23-314721,N,Y,34.0421225,-118.2514289
PAST SALE,September-12-2019,Condo/Co-op,10433 Wilshire Blvd #1208,Los Angeles,CA,90024,788000,1,1.5,Westwood - Century City,1105,31459,1963,20,713,1219,Pending,NA,NA,https://www.redfin.com/CA/Los-Angeles/10433-Wilshire-Blvd-90024/unit-1208/home/6826619,TheMLS,23-311065,N,Y,34.0663496,-118.4308891
MLS Listing,NA,Condo/Co-op,1100 Wilshire Blvd #2904,Los Angeles,CA,90017,569000,1,1,Downtown L.A.,927,27098,1986,22,614,1175,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/1100-Wilshire-Blvd-90017/unit-2904/home/17237219,TheMLS,23-314255,N,Y,34.0521526,-118.2638542
MLS Listing,NA,Condo/Co-op,800 W 1st St #602,Los Angeles,CA,90012,485000,1,1,Downtown L.A.,762,106162,1968,22,636,959,Active,October-15-2023 12:00 PM,October-15-2023 03:00 PM,https://www.redfin.com/CA/Los-Angeles/800-W-1st-St-90012/unit-602/home/6933615,TheMLS,23-313639,N,Y,34.0561267,-118.2518003
MLS Listing,NA,Condo/Co-op,400 S Broadway #610,Los Angeles,CA,90013,639500,1,1,C42 - Downtown L.A.,624,36820,2021,22,1025,637,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/400-S-Broadway-90013/unit-610/home/173209337,CRMLS,AR23177705,N,Y,34.0492595,-118.2494055
MLS Listing,NA,Condo/Co-op,201 S Reno St,Los Angeles,CA,90057,479000,1,1,Downtown L.A.,669,14414,1922,22,716,248,Active,October-15-2023 02:00 PM,October-15-2023 05:00 PM,https://www.redfin.com/CA/Los-Angeles/201-S-Reno-St-90057/home/174665354,TheMLS,23-314237,N,Y,34.069847,-118.2824506
MLS Listing,NA,Condo/Co-op,746 S Los Angeles St #201,Los Angeles,CA,90014,525000,1,1,Downtown L.A.,1130,NA,1922,22,465,897,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/746-S-Los-Angeles-St-90014/unit-201/home/21917435,TheMLS,23-314105,N,Y,34.0421225,-118.2514289
MLS Listing,NA,Condo/Co-op,746 S Los Angeles St #704,Los Angeles,CA,90014,515000,1,1,Downtown L.A.,1011,NA,1922,22,509,866,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/746-S-Los-Angeles-St-90014/unit-704/home/21915268,TheMLS,23-314107,N,Y,34.0421225,-118.2514289
MLS Listing,NA,Condo/Co-op,10335 Wilshire Blvd,Los Angeles,CA,90024,1995000,1,1,Westwood - Century City,1119,13511,1935,24,1783,1278,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/10335-Wilshire-Blvd-90024/home/8143111,TheMLS,23-312749,N,Y,34.0681564,-118.427158
MLS Listing,NA,Condo/Co-op,1155 S Grand Ave #1107,Los Angeles,CA,90015,680000,1,1,Downtown L.A.,970,52748,2008,24,701,931,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/1155-S-Grand-Ave-90015/unit-1107/home/21913259,TheMLS,23-312833,N,Y,34.0405359,-118.2633243
MLS Listing,NA,Condo/Co-op,849 S Broadway #308,Los Angeles,CA,90014,1475000,1,2,Downtown L.A.,1540,22844,1930,25,958,1303,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/849-S-Broadway-90014/unit-308/home/17230110,TheMLS,23-305443,N,Y,34.0428165,-118.2561113
MLS Listing,NA,Condo/Co-op,108 W 2nd St #903,Los Angeles,CA,90012,525000,1,1,Downtown L.A.,790,19153,1910,25,665,610,Active,October-15-2023 02:00 PM,October-15-2023 04:00 PM,https://www.redfin.com/CA/Los-Angeles/108-W-2nd-St-90012/unit-903/home/17239049,TheMLS,23-312947,N,Y,34.0509671,-118.2448504
MLS Listing,NA,Condo/Co-op,400 S La Fayette Park Pl #314,Los Angeles,CA,90057,435000,1,2,Downtown L.A.,886,28375,1970,26,491,300,Active,October-15-2023 01:00 PM,October-15-2023 04:00 PM,https://www.redfin.com/CA/Los-Angeles/400-S-La-Fayette-Park-Pl-90057/unit-314/home/6935200,TheMLS,23-312779,N,Y,34.0652295,-118.2810778
MLS Listing,NA,Condo/Co-op,10501 Wilshire Blvd #1105,Los Angeles,CA,90024,850000,1,2,Westwood - Century City,893,42193,1963,26,952,1211,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/10501-Wilshire-Blvd-90024/unit-1105/home/17232204,TheMLS,23-312479,N,Y,34.0640529,-118.432715
MLS Listing,NA,Condo/Co-op,1234 Wilshire Blvd #330,Los Angeles,CA,90017,555000,1,1,Downtown L.A.,830,71332,2006,26,669,716,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/1234-Wilshire-Blvd-90017/unit-330/home/12286893,TheMLS,23-312447,N,Y,34.0532098,-118.2659385
MLS Listing,NA,Condo/Co-op,889 Francisco St #2109,Los Angeles,CA,90017,990000,1,1.5,C42 - Downtown L.A.,980,98910,2017,27,1010,1165,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/889-Francisco-St-90017/unit-2109/home/142687148,CRMLS,PF23174262,N,Y,34.0480073,-118.264768
MLS Listing,NA,Condo/Co-op,645 W 9th St #528,Los Angeles,CA,90015,469000,1,1,Downtown L.A.,720,74720,2006,28,651,790,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/645-W-9th-St-90015/unit-528/home/17231830,TheMLS,23-305791,N,Y,34.0456361,-118.2608972
MLS Listing,NA,Condo/Co-op,10751 Wilshire Blvd #609,Los Angeles,CA,90024,710000,1,1.5,Westwood - Century City,929,17823,1972,29,764,820,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/10751-Wilshire-Blvd-90024/unit-609/home/6825317,TheMLS,23-311077,N,Y,34.060632,-118.438372
MLS Listing,NA,Condo/Co-op,1100 S Hope St #1313,Los Angeles,CA,90015,574900,1,1,Downtown L.A.,740,41205,2007,29,777,841,Active,October-15-2023 01:00 PM,October-15-2023 04:00 PM,https://www.redfin.com/CA/Los-Angeles/1100-S-Hope-St-90015/unit-1313/home/17139170,TheMLS,23-311807,N,Y,34.0418431,-118.2632115
MLS Listing,NA,Condo/Co-op,889 Francisco St #3809,Los Angeles,CA,90017,1495000,1,1.5,C42 - Downtown L.A.,1053,NA,2017,29,1420,829,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/889-Francisco-St-90017/unit-3809/home/143519501,CRMLS,AR23163954,N,Y,34.0480073,-118.264768
MLS Listing,NA,Condo/Co-op,900 W Olympic Blvd Unit 30C,Los Angeles,CA,90015,1138000,1,2,C42 - Downtown L.A.,1270,399281,2010,30,896,2529,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/900-W-Olympic-Blvd-90015/unit-30C/home/40371602,CRMLS,PV23169420,N,Y,34.0451611,-118.2666712
MLS Listing,NA,Condo/Co-op,10590 Wilshire Blvd Unit 2B,Los Angeles,CA,90024,155000,1,1,Westwood - Century City,202,20947,1976,30,767,232,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/10590-Wilshire-Blvd-90024/unit-2B/home/180096879,TheMLS,23-311141,N,Y,34.0612926,-118.43315
MLS Listing,NA,Condo/Co-op,655 S Hope St #601,Los Angeles,CA,90017,495000,1,1,C42 - Downtown L.A.,740,11674,1964,32,669,933,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/655-S-Hope-St-90017/unit-601/home/28646533,CRMLS,TR23170218,N,Y,34.0483388,-118.2576416
MLS Listing,NA,Condo/Co-op,1100 S Hope St #510,Los Angeles,CA,90015,668888,1,1,Downtown L.A.,1048,41205,2007,35,638,770,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/1100-S-Hope-St-90015/unit-510/home/17232459,TheMLS,23-309727,N,Y,34.0418431,-118.2632115
MLS Listing,NA,Condo/Co-op,1234 Wilshire Blvd #226,Los Angeles,CA,90017,467000,1,1,C42 - Downtown L.A.,690,71332,2006,36,677,686,Active,October-15-2023 01:00 PM,October-15-2023 04:00 PM,https://www.redfin.com/CA/Los-Angeles/1234-Wilshire-Blvd-90017/unit-226/home/12292633,CRMLS,P1-14989,N,Y,34.0532098,-118.2659385
MLS Listing,NA,Condo/Co-op,312 W 5th St #1118,Los Angeles,CA,90013,735000,1,1,Downtown L.A.,1215,27285,1923,36,605,405,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/312-W-5th-St-90013/unit-1118/home/8152778,TheMLS,23-307807,N,Y,34.0480407,-118.2512918
MLS Listing,NA,Condo/Co-op,2160 Century Park Unit 2101N,Los Angeles,CA,90067,665000,1,1,Westwood - Century City,832,223035,1966,36,799,953,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/2160-Century-Park-E-90067/unit-2101N/home/6808794,TheMLS,23-305941,N,Y,34.0585574,-118.4112443
MLS Listing,NA,Condo/Co-op,800 W 1st St #2206,Los Angeles,CA,90012,488888,1,1,Downtown L.A.,735,106162,1968,37,665,1034,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/800-W-1st-St-90012/unit-2206/home/6933777,TheMLS,23-308835,N,Y,34.0561267,-118.2518003
MLS Listing,NA,Condo/Co-op,1100 Wilshire Blvd #2707,Los Angeles,CA,90017,575000,1,1,C42 - Downtown L.A.,800,27098,1986,41,719,1158,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/1100-Wilshire-Blvd-90017/unit-2707/home/17237675,CRMLS,OC23165108,N,Y,34.0521526,-118.2638542
MLS Listing,NA,Condo/Co-op,889 Francisco St #2210,Los Angeles,CA,90017,789000,1,1,Downtown L.A.,750,98910,2017,43,1052,800,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/889-Francisco-St-90017/unit-2210/home/118749481,TheMLS,23-291607,N,Y,34.0480073,-118.264768
MLS Listing,NA,Condo/Co-op,889 Francisco St #1811,Los Angeles,CA,90017,699000,1,2,C42 - Downtown L.A.,870,98910,2017,45,803,1051,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/889-Francisco-St-90017/unit-1811/home/143517886,CRMLS,OC23161745,N,Y,34.0480073,-118.264768
PAST SALE,April-16-2008,Condo/Co-op,10701 Wilshire Blvd #402,Los Angeles,CA,90024,725000,1,1.5,Westwood - Century City,934,18363,1964,46,776,1068,Pending,NA,NA,https://www.redfin.com/CA/Los-Angeles/10701-Wilshire-Blvd-90024/unit-402/home/6825576,TheMLS,23-297285,N,Y,34.0611873,-118.4361887
MLS Listing,NA,Condo/Co-op,1100 S Hope St #1207,Los Angeles,CA,90015,594900,1,1,C42 - Downtown L.A.,860,41205,2007,46,692,855,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/1100-S-Hope-St-90015/unit-1207/home/17139914,CRMLS,SR23161710,N,Y,34.0418431,-118.2632115
PAST SALE,NA,Condo/Co-op,630 W 6th St #512,Los Angeles,CA,90017,370000,1,1,C42 - Downtown L.A.,610,26607,1962,47,607,717,Pending,NA,NA,https://www.redfin.com/CA/Los-Angeles/630-W-6th-St-90017/unit-512/home/17236094,CRMLS,SB23141279,N,Y,34.0491192,-118.2564635
MLS Listing,NA,Condo/Co-op,10982 Roebling Ave #504,Los Angeles,CA,90024,725000,1,1,Westwood - Century City,726,79794,1973,51,999,487,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/10982-Roebling-Ave-90024/unit-504/home/8102374,TheMLS,23-304605,N,Y,34.0642691,-118.449606
MLS Listing,NA,Condo/Co-op,630 W 6th St #211,Los Angeles,CA,90017,448000,1,1,Downtown L.A.,680,26607,1962,51,659,725,Active,NA,NA,https://www.redfin.com/CA/Los-Angeles/630-W-6th-St-90017/unit-211/home/12289190,TheMLS,23-304359,N,Y,34.0491192,-118.2564635
MLS Listing,NA,Condo/Co-op,460 S Spring St #1016,Los Angeles,CA,90013,500000,1,1,Downtown L.A.,734,NA,1912,51,681,695,Contingent,NA,NA,https://www.redfin.com/CA/Los-Angeles/460-S-Spring-St-90013/unit-1016/home/17226467,TheMLS,23-304327,N,Y,34.0475743,-118.249297
